,title_abstract
0,"Dental implants have increased in the last few decades thus increasing the number of complications. Since many of these complications are easily diagnosed on postsurgical images, it is important for radiologists to be familiar with them and to be able to recognize and diagnose them. Radiologists should also have a basic understanding of their treatment. In a pictorial fashion, this article will present the basic complications of dental implants which we have divided into three general categories: biomechanical overload, infection or inflammation, and other causes. Examples of implant fracture, loosening, infection, inflammation from subgingival cement, failure of bone and soft tissue preservation, injury to surround structures, and other complications will be discussed as well as their common imaging appearances and treatment. Lastly, we will review pertinent dental anatomy and important structures that are vital for radiologists to evaluate in postoperative oral cavity imaging."
1,"Purpose: To propose a length-and-diameter-based classification scheme for dental implants to standardize terminology in the dental literature and communication between interested parties. This study was mainly based on searching two major resources: published scientific research papers and 14 of the most popular dental implant manufacturers. Indexed databases were searched from January 2004 up to and including February 2016 using the  'dental implant length' and 'dental implant diameter.' Retrieved titles and abstracts were screened, and related full-text articles were reviewed. Full-text articles that clearly stated the terms and measurements of implants used were included and considered for proposing this classification scheme. : The initial search for implant diameter and length yielded 1007 and 936 articles, respectively. A total of 85 studies (41 about diameter, 44 about length) were selected and reviewed. The remaining studies (966 about diameter, 892 about length) that did not abide by the eligibility criteria were excluded. The terms 'long,' 'short,' 'standard,' 'wide,' and 'narrow' were the most commonly used terms in the literature. A classification scheme for implants by diameter and length was proposed. Conclusions: Indexed publications contain a variety of terms used by authors to describe diameter and length of dental implants without conformity and standardization. The classification scheme proposed in this article could serve as a reference for interested parties: Dental implant; classification; diameter; length; size."
2,"Teeth are vital sensory organs that contribute to our daily activities of living. Unfortunately, teeth can be lost for several reasons including trauma, caries, and periodontal disease. Although dental trauma injuries and caries are more frequently encountered in a younger population, tooth loss because of periodontal disease occurs in the older population. In the dental implant era, the trend sometimes seems to be to extract compromised teeth and replace them with dental implants. However, the long-term prognosis of teeth might not be comparable with the prognosis of dental implants. Complications, failures, and diseases such as peri-implantitis are not uncommon, and, despite popular belief, implants are not 99% successful. Other treatment options that aim to save compromised or diseased teeth such as endodontic treatment, periodontal treatment, intentional replantation, and autotransplantation should be considered on an individual basis. These treatments have competing success rates to dental implants but, more importantly, retain the natural tooth in the dentition for a longer period of time. These options are important to discuss in detail during treatment planning with patients in order to clarify any misconceptions about teeth and dental implants. In the event a tooth does have to be extracted, procedures such as decoronation and orthodontic extrusion might be useful to preserve hard and soft tissues for future dental implant placement. Regardless of the treatment modality, it is critical that strict maintenance and follow-up protocols are implemented and that treatment planning is ethically responsible and evidence based."
3,"Dental implants have become an increasingly popular treatment choice for replacing missing teeth. Yet, little is known about the prevalence and sociodemographic distribution of dental implant use in the United States. To address this knowledge gap, we analyzed data from 7 National Health and Nutrition Examination Surveys from 1999 to 2016. We estimated dental implant prevalence among adults missing any teeth for each survey period overall as stratified by sociodemographic characteristics. We calculated absolute and relative differences from 1999-2000 to 2015-2016 and fit logistic regression models to estimate changes over time. We also used multivariable logistic regression to estimate independent associations of sociodemographic covariates with the presence of any implant. We projected the proportion of patients treated with dental implants into the year 2026 under varying assumptions of how the temporal trend would continue. There has been a large increase in the prevalence of dental implants, from 0.7% in 1999 to 2000 to 5.7% in 2015 to 2016. The largest absolute increase in prevalence (12.9%) was among individuals 65 to 74 y old, whereas the largest relative increase was ~1,000% among those 55 to 64 y old. There was an average covariate-adjusted increase in dental implant prevalence of 14% per year (95% CI, 11% to 18%). Having private insurance (vs. none or public insurance) or more than a high school education (vs. high school or less) was each associated with a 2-fold increase in prevalence, with an almost 13-fold (95% CI, 8 to21) increase for older adults. Dental implant prevalence projected to 2026 ranged from 5.7% in the most conservative scenario to 23% in the least. This study demonstrates that dental implant prevalence among US adults with missing teeth has substantially increased since 1999. Yet access overall is still very low, and prevalence was consistently higher among more advantaged groups."
4,"Background: The aim of this systematic review and meta-analysis was to compare the clinical efficacy of the early dental implant placement protocol with immediate and delayed dental implant placement protocols.: An electronic and manual search of literature was made to identify clinical studies comparing early implant placement with immediate or delayed placement. Data from the included studies were pooled and quantitative analyses were performed for the implant outcomes reported as the number of failed implants (primary outcome variable) and for changes in peri-implant marginal bone level, peri-implant probing depth, and peri-implant soft tissue level (secondary outcome variables).: Twelve studies met the inclusion criteria. Significant difference in risk of implant failure was found neither between the early and immediate placement protocols (risk difference = -0.018; 95% confidence interval [CI] = -0.06, 0.025; P = 0.416) nor between early and delayed placement protocols (risk difference = -0.008; 95% CI = -0.044, 0.028; P = 0.670). Pooled data of changes in peri-implant marginal bone level demonstrated significantly less marginal bone loss for implants placed using the early placement protocol compared with those placed in fresh extraction sockets (P = 0.001; weighted mean difference = -0.14 mm; 95% CI = -0.22, -0.05). No significant differences were found between the protocols for the other variables.Conclusions: The available evidence supports the clinical efficacy of the early implant placement protocol. Present findings indicate that the early implant placement protocol  in implant outcomes similar to immediate and delayed placement protocols and a superior stability of peri-implant hard tissue compared with immediate implant placement: clinical protocols; dental ; dental implants; meta-analysis; time factors; tooth extraction; tooth socket/surgery."
5,"The development of clinical implant dentistry was intensively affected by dental implant design improvement and innovation, which brought about new concept, even milestone-like changes of clinical protocol. The current improvements of dental implant design and their clinical importance could be highlighted as followings: 1) The implant apical design influences the implant preliminary stability in immediate implant. The apical 3-5 mm design of implant makes implant stable in immediate implant, because this part would be screwed into alveolar bone through fresh socket, the other part of implant could not be tightly screwed in the socket because of smaller implant diameter. Implant apical form, screw design, self-taping of apical part would be essential for immediate implant. 2) The enough preliminary stability of implant makes immediate prosthesis possible. When osseointegration does not occur, the implant stability comes from a mechanical anchorage, which depends on implant form, screw thread and self-taping design. 3) Implant neck design may have influence for soft tissue recession in esthetic zone. The implant with large shoulder would not be selected for the esthetic area. The platform design may be more favorable in the area. 4) The connection design between implant and abutment is thought a very important structure in implant long-term stability. Moose taper and tube in tube were well documented structure design in 20-year clinical practice in Peking University. 5) In last 15 years, the plenty studies showed the platform design of implant had positive influence in implant marginal bone level. Whatever in single implant restoration or multi-implant prosthesis. 6) The digital technology makes clinical work more precise and high-tech. This would be a trend in implant dentistry. New generation of chair-side digital computer-aided design/computer-aided manufacturing makes immediate prosthesis without conventional impression possible. 7) New abutment design have changed clinical protocol greatly. The All-on-four concept and Weldone concept benefit both from the abutment innovation, which were large angulated abutment and special welding abutment materials.: computer-aided design; dental implant-abutment design; dental implants; immediate dental implant loading."
6,"Dental implants are reliable to replace teeth lost because of traumatic dental injury. However, dental implants behave like ankylosed teeth and should not be placed in growing individuals because of the risk of infraposition. This risk may be reduced by ensuring arrested skeletal growth and ideal incisal support. The timing of implant placement may be immediate, early, conventional, or late and is determined by the extent of the trauma, remaining growth, and conditions of the hard and soft tissues. Timing should allow an observation period to properly evaluate the prognosis of concomitantly traumatized neighboring teeth. Orthodontic alignment is often necessary after traumatic dental injury in young individuals to provide symmetric dental conditions around the facial midline, to allow implant placement in the correct 3-dimensional position for the later prosthetic reconstruction, and to ensure sufficient mesiodistal space that leaves a minimum of 1.5 mm of healthy alveolar bone between the future implant and neighboring teeth. Space and stable occlusion should be maintained by bonded retainers and a splint used during the night. A partial prosthesis is usually recommended as a temporary replacement. If a fixed provisional prosthesis is required, it is crucial that it does not interfere with the remaining growth and incisal support and allows proper oral hygiene."
7,"As dental implants have become a popular treatment modality for edentulous sites, there is a need for a peri-implant maintenance protocol. This article reviews the anatomy of peri-implant tissues, examines the etiology and risk factors of peri-implant diseases, and outlines nonsurgical and surgical treatment of these diseases. The clinical and radiographic steps necessary to diagnose peri-implant diseases during the phase of peri-implant maintenance, along with available treatment protocols to maintain or recover peri-implant health will be discussed."
8,"This study aimed to assess the literature available on the effects, on peri-implant tissues, of degradation products released from dental implants as a consequence of therapeutic treatment for peri-implantitis and/or of wear-corrosion of titanium. A literature review of the PubMed medline database was performed up to December 31, 2016. The following search terms were used: 'titanium wear and dental implant'; 'titanium corrosion and dental implant'; 'bio-tribocorrosion'; 'peri-implantitis'; 'treatment of peri-implantitis'; 'titanium particles release and dental implant'; and 'titanium ion release and dental implant'. The  were applied to the database in different combinations without limits of time period or type of work. In addition, the reference lists of relevant articles were searched for further studies. Seventy-nine relevant scientific articles on the topic were retrieved. The results showed that pro-inflammatory cytokines, infiltration of inflammatory response cells and activation of the osteoclasts activity are stimulated in peri-implant tissues in the presence of metal particles and ions. Moreover, degenerative changes were reported in macrophages and neutrophils that phagocytosed titanium microparticles, and mutations occurred in human cells cultured in medium containing titanium-based nanoparticles. Debris released from the degradation of dental implants has cytotoxic and genotoxic potential for peri-implant tissues. Thus, the amount and physicochemical properties of the degradation products determine the magnitude of the detrimental effect on peri-implant tissues."
9,"Introduction: Dental implant may serve as a choice of treatment for replacement of missing tooth in diabetic patients with their well-controlled glycemic index. To minimize postoperative complications, dental surgical procedures comprises mainly two types, namely conventional and flapless surgery.: The aim of this review is to find the survival rate of the dental implant when placed with either of the technique, that is, conventional or flapless in patients with controlled Type 2 diabetes mellitus from published studies.Materials and : A total of 14 studies were included from PubMed database related to the survival rate of dental implant placement by conventional or flapless surgery among patients with controlled diabetes mellitus. The cumulative mean of dental implant survival rate by conventional and flapless techniques calculated from included studies is 94.2% and 92.3%, respectively. Conclusion: The survival rate of dental implant placement by conventional and flapless techniques is similar. As few studies on flapless technique are available, therefore researchers in future should explore its advantages and disadvantages."
10,"Aim: The aims of this study are to review the available literature related to implant complications and propose a new classification method for dental implant complications. and : Dental literature was reviewed via PubMed focusing on articles published in English, which included data regarding dental implants, complications, and classification from January 2000 to January 2018. The author, who has experience with implant placement and restorations for 15 years, and ten of his colleagues, formed a list of implant complications that they have encountered in their practices.: After 3,736 articles were found in the initial search, a total of 613 potentially relevant review articles were identified in the database. After the full-text analysis of 25 articles, only 6 review articles with complication classifications were utilized in this study. In addition, a clinically based classification named Turkyilmaz's Classification of Implant Complications including three categories was created. Types of complications in these three groups (Mild, Moderate, and Severe) were listed, and some of them were illustrated. Also, recommendations for clinicians were made on how to avoid these problems and/or overcome them.Conclusion: It has been suggested that categorical data regarding complications of dental implants are limited, and the new complication classification presented in this article may help clinicians identify and overcome commonly encountered implant complications.Clinical significance: For clinicians, it is important to know possible complications regarding dental implants. In this article, a group of dentists created and suggested a new classification for implant complications, which may help clinicians identify commonly encountered complications and how to handle them in the clinic.: Complication; Esthetics; Failure; Implant; Nerve injury Success."
11,"Dental implants are reliable to replace teeth lost because of traumatic dental injury. However, dental implants behave like ankylosed teeth and should not be placed in growing individuals because of the risk of infraposition. This risk may be reduced by ensuring arrested skeletal growth and ideal incisal support. The timing of implant placement may be immediate, early, conventional, or late and is determined by the extent of the trauma, remaining growth, and conditions of the hard and soft tissues. Timing should allow an observation period to properly evaluate the prognosis of concomitantly traumatized neighboring teeth. Orthodontic alignment is often necessary after traumatic dental injury in young individuals to provide symmetric dental conditions around the facial midline, to allow implant placement in the correct 3-dimensional position for the later prosthetic reconstruction, and to ensure sufficient mesiodistal space that leaves a minimum of 1.5 mm of healthy alveolar bone between the future implant and neighboring teeth. Space and stable occlusion should be maintained by bonded retainers and a splint used during the night. A partial prosthesis is usually recommended as a temporary replacement. If a fixed provisional prosthesis is required, it is crucial that it does not interfere with the remaining growth and incisal support and allows proper oral hygiene."
12,"Biofilm formation on dental implant surfaces is a serious threat. Up to 50% of all implants show signs of irreversible tissue destruction. The aim of the present systematic review was to summarize the state of the art of strategies to functionalize antimicrobial dental implant surfaces. We searched the following electronic database: SCOPUS, MEDLINE and GOOGLE SCHOLAR and identified relevant controlled trials that evaluated the efficiency of new biomaterial strategies to modify dental implant surfaces, in such a way that biofilm formation was inhibited. The search yielded 2,990 potentially relevant publications. A total of 142 publications met the inclusion criteria. Analysis found that it may be concluded that silver-implanted surfaces, drug-loaded surfaces, surfaces with antimicrobial peptides, bioactive and biopassive polymer coatings as well as nanoscale or UV-activatable surfaces enhance antimicrobial activity compared to commercial pure titanium."
13,"The aim of this randomized controlled trial was to evaluate the survival rate, the marginal bone level, and the aesthetic outcome; at 3 years' follow-up, of dental implants placed into a high-esthetic aesthetic zone by comparing 2 techniques of postextraction implant with immediate loading: the socket shied technique and the conventional insertion technique.Several clinical studies suggested that the avulsion of a dental element causes dimensional alterations of both soft and hard tissues at the postextractive site. To increase the aesthetic outcomes, the socket-shield technique has been proposed. This method involves maintaining the vestibular root portion and immediate insertion of the dental implant in close proximity to the root.Patients enrolled in this study were randomized to receive a postextraction implant in the aesthetic zone, either with the socket shied technique or with the conventional insertion technique. Implant survival, marginal bone level, and the pink aesthetic score were the outcomes evaluated.Implant survival rate was 100% in both the groups at 3 years. Implants inserted with the socket shield technique showed better values of both marginal bone level and pink aesthetic score (P < 0.05).Although such preliminary results need to be further confirmed, the socket shield technique seems to be a safe surgical technique that allows an implant rehabilitation characterized by better aesthetic outcomes."
14,": The aim of the present study was (a) to evaluate the relationship between dental implant mucosa and dental implant papilla levels; and (b) to identify the clinical parameters associated with peri-implant soft tissue stability over time.: This is a retrospective study on a cohort of patients seeking a single-tooth implant therapy in a private practice in the Paris area. Two independent examiners analyzed photographs and radiographs taken the day of definitive crown load (baseline) and the last follow-up visit (at least 12 months later) in order to measure four peri-implant soft and hard tissue parameters.: Seventy-four patients corresponding to 90 implants were analyzed. During a mean follow-up of 53.88 months, five implants (5.6%) presented with an apical displacement of the mid-facial marginal mucosal level of at least 1 mm. Changes in the mid-facial mucosa level were explained by changes in (a) the keratinized tissue height over time (p < .0001); (b) changes in the papilla height (p < .0001); and (c) by the periodontal phenotype (p = .007). A significant difference between papillae that gain in height (n = 85) and papilla that lost height (n = 78) was observed concerning (a) the timing of the implant placement (p = .019); and (b) the presence of an incomplete papilla fill (distance from the top of the papilla to the contact point) at baseline (p = .004).Conclusions: The present findings indicate a dependent association between dental implant mucosa and dental implant papilla levels. Stability of peri-implant soft tissues depends on periodontal phenotype, keratinized tissue height and papilla height.: dental esthetic; dental implant; papilla; peri-implant soft tissue; recession."
15,"Over past several decades, oral rehabilitation of fully or partially edentulous patients with dental implants has become a routine procedure in daily practice. Dental implant supported and retained prosthesis can provide a wide variety of treatment options to patients due to their high predictability and survival rate. While many patients treated with dental implants have had high long term success, they are not completely free of complications. Proper patient selection, treatment planning, surgical and prosthodontic procedures, material selection and routine maintenance around the peri-implant tissues are keys to this long term success rate."
16,"Achieving predictable outcomes in implant dentistry requires not only an understanding of surgical and prosthetic protocols but also knowledge of bone biology. Regarding implant stability, a distinction exists between non-osseointegrated and osseointegrated implants. Primary or mechanical stability at implant placement is different than secondary or biological stability. Bone quality, implant length, and implant width all influence the achievement of primary stability. This article reviews the contemporary literature on dental implant osseointegration, with the intent of presenting clinicians scientific information concerning the biomechanical parameters and limitations of endosseous implants and their components during the osseointegration phase, as well as their behavior once occlusal forces are present following osseointegration."
17,"New innovative method relating guided surgery to dental implant placementIntroduction: Companies selling dental implant guided systems mostly offer similar surgical guides. The purpose of this paper is to present an innovative-guided surgery system which originality lies in its guidance device, and to report the author's experience in using this system for dental implant surgery.Technical protocol: Two parallel tubes on either side of the drilling axis guide the successive drills and the implant placement. As a result of the lateral guidance, there is no friction of the drills on the surgical guide, which would damage it or contaminate the drilling hole with particles torn out from the guide. No radiological guide is needed during the radiographic examination stage. No successive diameter reduction tubes are requested. This guide can be used for all brands of implants.Discussion: In our experience, 67 implants (31 titanium and 36 zircon implants) were placed in 35 patients with guided surgery system. Multiple clinical cases were treated with this system: 'one-stage' or a 'two-stage' surgical protocol, with flap and flapless surgical techniques, and with delayed or immediate loading. Clinical cases treated revealed good implant placement with planning. The widely open design of this guide allows irrigation and practitioner's sight control under conditions comparable to those of operations performed without surgical guide.Conclusion: This dental implant guided system appears to be a significant advance in the field of implant surgical guides.: Computer-assisted design; Computer-assisted/methods; Dental implantation; Endosseous/instrumentation; Endosseous/methods; Surgery."
18,"Current status of dental implants survival and peri-implant bone loss in patients with uncontrolled type-2 diabetes mellitusPurpose of review: The current review summarizes recent evidence on the impact of type-2 diabetes mellitus (T2DM) on implant dentistry, highlighting the behavior of peri-implant bone.Recent findings: There is no definitive information on the development and course of peri-implant bone loss associated with T2DM; however, poorly controlled T2DM patients present worse outcomes. Nevertheless, dental implants may be a successful therapy for these patients in a manner similar to healthy individuals, when glycemic levels and oral hygiene are strictly maintained.Summary: The most recent literature on the impact of T2DM on peri-implant bone loss was reviewed to evaluate the feasibility of dental implant therapy over the time for these patients."
19,"Are There Contraindications for Placing Dental Implants?There are few absolute contraindications to dental implant placement. Relative contraindications include cognitive decline, American Society of Anesthesiology patient status IV or higher categories, or medical conditions that may jeopardize the life or lifespan of the patient. Precautions for placing dental implants should be viewed with respect to the evidence-based exposures that can contribute to risk of failure, including but not limited to local, behavioral, and medical factors. Risk for dental implant failure increases in association with (1) past history of periodontal disease, (2) bruxism, (3) smoking, and (4) radiation therapy.: Contraindication; Dental implants; Implant failure; Implant survival; Risk factors."
20,"Titanium dental implant surfaces obtained by anodic spark deposition - From the past to the future Commercial titanium-based dental implants are obtained applying various methods such as machining, acid etching, anodization, plasma spraying, grit blasting or combination techniques yielding materials with smooth or micro-roughened surfaces. Those techniques are used to optimize the surface properties and to maximize biocompatibility and bioactivity with bone tissue. Present review is focused on the material surfaces obtained by anodic spark deposition (ASD). From the early 1980s till present, the results of numerous studies have shown that anodically oxidized surfaces with different dopants express a positive effect on osteoblasts behavior in vitro and osseointegration in vivo. Those surfaces demonstrated a high biocompatibility and rapid osseointegration in clinical application. This paper provides an overview of the preparation of implant surfaces by employing ASD process. Moreover, reviewed are clinically used ASD implant surfaces (Ticer, TiUnite, Osstem, etc.). The electrolyte variations in ASD process and their influence on surface properties are given herein. Using different electrolytes, anode voltages and temperatures, the above fabrication process can yield various surface morphologies from smooth to rough, porous surfaces. Furthermore, ASD enables thickening of oxide layers and enrichment with different dopands from used electrolyte, which hinder release of potentially toxic titanium ions in surrounding tissue. Particularly exciting results were achieved by calcium and phosphorus doping of the oxide layer (Ticer, ZL Microdent; TiUnite, Nobel Biocare Holding AB) which significantly increased the osteocompatibility. Ticer, a dental implant with anodically oxidized surface and the first among similar materials employed in clinical practice, was found to promote fast osteoblast cell differentiation and mineralization processes. Moreover, Ticer accelerate the integration with the bone, increase the bone/implant contact and improve primary and secondary stability of the implants. Additionally, potential innovations in this field such as fabrication of nanotubes on the implant surfaces as well as novel approaches (e.g. coating with proteins, nanostructured topography; combining implant body and surface derived from titanium and zirconia) are elaborated in this review. Besides, biochemical aspects on implant surface cell/tissue interaction are summarized. From the clinical point of view implant surfaces fabricated by ASD technology possess fast and improved osseointegration, high healing rates and long term prognosis.: Anodic spark deposition; Dental implants; In vitro; In vivo; Osseointegration; TiUnite; Ticer."
21,"Dental implant and fungus ball in the ethmoid sinus Dental migration into the ethmoid sinus is extremely rare. Furthermore, it is very unusual that a displaced dental implant is associated with a concomitant fungus ball in the ethmoid sinus. Herein, we report an unusual case of the coexistence of a dental implant and fungus ball in the ethmoid sinus. It appears that this condition has not been reported previously.: dental implants; displacement; endoscopy; ethmoid sinus; mycetoma."
22,Displacement of a Dental Implant into the Pterygoid Fossa: A Clinical Report The placement of dental implants in the pterygomaxillary region can be advantageous in maxillary complete arch fixed implant-supported prosthetic rehabilitations to avoid bone grafting and sinus elevation surgeries. Pterygomaxillary implants improve implant biomechanics by eliminating distal cantilevers and increasing the anteroposterior spread with reported mean implant survival rates comparable to traditional implant sites. Although only minor surgical complications have been reported in the literature with the placement of dental implants in the pterygomaxillary region this clinical report describes a major surgical complication involving the displacement of a dental implant into the pterygoid fossa. Maxillary implants; displaced implant; pterygoid fossa; pterygoid implant; surgical complications; tuberosity implant.
23,"Effect of Platelet-Rich Fibrin and Bone Morphogenetic Protein on Dental Implant Stability Recombinant human bone morphogenetic protein-2 (rhBMP-2) and platelet-rich fibrin (PRF) bioactive materials have been used to enhance healing and improve dental implant stability. This study aimed to compare the effect of rhBMP-2 and PRF bioactive materials on dental implant stability at different intervals and to evaluate the correlation of implant length and diameter with implant stability.Two bioactive materials were compared to evaluate their effect on dental implant stability. A total of 32 patients (102 dental implants) were divided into 3 groups: 24 dental implants with bone morphogenetic protein (BMP), 27 dental implants with PRF, and 51 dental implants without BMP or PRF (control group). Data were statistically analyzed to determine the bioactive material with the best effect on implant stability.Implant stability did not significantly differ between the groups immediately after implant insertion (first reading; P > 0.05). The implant stability of the rhBMP-2 group was significantly better than those of the PRF and control groups 6 weeks after implant insertion (second reading; P = 0.001). After 12 weeks, the effect of rhBMP-2 on implant stability was highly significant and better than that of the other groups (third reading; P < 0.001).Dental implants coated with BMP have a better effect on stability than those with PRF alone and those without PRF or BMP"
